cik,company,event_date,source,chapter,sic,excluded_sic,reason,n_usgaap_tags,n_quarters_extracted
1321099,"DigitalPost Interactive, Inc.",2011-04-01,8K_FTS+8K_SUBMISSIONS,,7374.0,,no entry in companyfacts.zip (never filed XBRL),,
766004,"Sbarro, Inc.",2011-04-04,LOPUCKI,11.0,5812.0,,no entry in companyfacts.zip (never filed XBRL),,
58592,4 KIDS ENTERTAINMENT INC,2011-04-06,8K_FTS+8K_SUBMISSIONS,,6794.0,6794.0,SIC excluded (financial 6000-6799),,
946842,AMBASSADORS INTERNATIONAL INC,2011-04-07,8K_FTS+8K_SUBMISSIONS,,4700.0,,no entry in companyfacts.zip (never filed XBRL),,
883697,REGEN BIOLOGICS INC,2011-04-11,8K_FTS+8K_SUBMISSIONS,,3841.0,,no 10-K/10-Q with a period end in 2010-2024,,
317477,COMPOSITE TECHNOLOGY CORP,2011-04-11,8K_FTS+8K_SUBMISSIONS,,3600.0,,no entry in companyfacts.zip (never filed XBRL),,
1065298,SUPERIOR BANCORP,2011-04-19,8K_FTS+8K_SUBMISSIONS,,6022.0,6022.0,SIC excluded (financial 6000-6799),,
19731,CANAL Corp,2011-04-19,8K_FTS+8K_SUBMISSIONS,,2650.0,,no 10-K/10-Q with a period end in 2010-2024,,
1338949,Majestic Capital Ltd.,2011-04-29,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6331.0,6331.0,SIC excluded (financial 6000-6799),,
705200,PAB BANKSHARES INC,2011-05-02,8K_FTS+8K_SUBMISSIONS,,6022.0,6022.0,SIC excluded (financial 6000-6799),,
1103078,RASER TECHNOLOGIES INC,2011-05-03,8K_FTS+8K_SUBMISSIONS,,4911.0,,no entry in companyfacts.zip (never filed XBRL),,
1014133,COMMUNITY CENTRAL BANK CORP,2011-05-04,8K_FTS+8K_SUBMISSIONS,,6022.0,6022.0,SIC excluded (financial 6000-6799),,
1014653,PROFILE TECHNOLOGIES INC,2011-05-10,8K_FTS+8K_SUBMISSIONS,,3559.0,,no entry in companyfacts.zip (never filed XBRL),,
1406081,Guaranty Financial Group Inc.,2011-05-13,8K_FTS+8K_SUBMISSIONS,,6035.0,,no 10-K/10-Q with a period end in 2010-2024,,
821536,HEARUSA INC,2011-05-19,8K_FTS+8K_SUBMISSIONS,,5990.0,,no entry in companyfacts.zip (never filed XBRL),,
1313730,"Atlantic Southern Financial Group, Inc.",2011-05-23,8K_FTS+8K_SUBMISSIONS,,6035.0,6035.0,SIC excluded (financial 6000-6799),,
1283552,JACKSON HEWITT TAX SERVICE INC,2011-05-24,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,7200.0,,no entry in companyfacts.zip (never filed XBRL),,
1360581,"FGBC Bancshares, Inc.",2011-05-25,8K_FTS+8K_SUBMISSIONS,,6021.0,6021.0,SIC excluded (financial 6000-6799),,
1047040,Perkins & Marie Callenders Inc.,2011-06-13,LOPUCKI,11.0,5812.0,,no entry in companyfacts.zip (never filed XBRL),,
872545,MCINTOSH BANCSHARES INC /GA/,2011-06-21,8K_FTS+8K_SUBMISSIONS,,6022.0,6022.0,SIC excluded (financial 6000-6799),,
830519,EMAX HOLDINGS CORP,2011-06-23,8K_FTS+8K_SUBMISSIONS,,6770.0,,no 10-K/10-Q with a period end in 2010-2024,,
97052,TELTRONICS INC,2011-06-27,8K_FTS+8K_SUBMISSIONS,,3661.0,,no entry in companyfacts.zip (never filed XBRL),,
1112485,PRIMEHOLDINGS COM INC,2011-06-27,8K_FTS+8K_SUBMISSIONS,,7389.0,,no 10-K/10-Q with a period end in 2010-2024,,
1056758,"Nebraska Book Company, Inc.",2011-06-27,LOPUCKI,11.0,5190.0,,no entry in companyfacts.zip (never filed XBRL),,
1162245,FPB BANCORP INC,2011-07-18,8K_FTS+8K_SUBMISSIONS,,6021.0,6021.0,SIC excluded (financial 6000-6799),,
1446687,"SILVER STAR PROPERTIES REIT, INC",2011-07-20,8K_SUBMISSIONS,,6500.0,6500.0,SIC excluded (financial 6000-6799),,
804331,Indian Hill Holdings Corp,2011-07-28,8K_FTS+8K_SUBMISSIONS,,4813.0,,no 10-K/10-Q with a period end in 2010-2024,,
1165921,LAW ENFORCEMENT ASSOCIATES CORP,2011-07-29,8K_FTS+8K_SUBMISSIONS,,3663.0,,no entry in companyfacts.zip (never filed XBRL),,
764241,INTEGRA BANK CORP,2011-08-01,8K_FTS+8K_SUBMISSIONS,,6022.0,6022.0,SIC excluded (financial 6000-6799),,
947397,EVERGREEN SOLAR INC,2011-08-15,8K_FTS+8K_SUBMISSIONS,,3674.0,,no entry in companyfacts.zip (never filed XBRL),,
1160165,"ShengdaTech, Inc.",2011-08-19,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,2890.0,,no entry in companyfacts.zip (never filed XBRL),,
744962,NUTRITION 21 INC,2011-08-31,8K_FTS+8K_SUBMISSIONS,,2836.0,,no entry in companyfacts.zip (never filed XBRL),,
84919,"RCLC, INC.",2011-09-09,8K_FTS+8K_SUBMISSIONS,,2890.0,,no entry in companyfacts.zip (never filed XBRL),,
1329068,NewPage Holding CORP,2011-09-12,8K_FTS+8K_SUBMISSIONS,,2621.0,,no entry in companyfacts.zip (never filed XBRL),,
742814,TELEMETRIX INC,2011-09-16,8K_FTS+8K_SUBMISSIONS,,3663.0,,no 10-K/10-Q with a period end in 2010-2024,,
1096560,SULPHCO INC,2011-09-16,8K_FTS+8K_SUBMISSIONS,,1389.0,,no entry in companyfacts.zip (never filed XBRL),,
1160084,LOCATEPLUS HOLDINGS CORP,2011-09-26,8K_FTS+8K_SUBMISSIONS,,7374.0,,no entry in companyfacts.zip (never filed XBRL),,
835012,COMMONWEALTH BANKSHARES INC,2011-09-30,8K_FTS+8K_SUBMISSIONS,,6021.0,6021.0,SIC excluded (financial 6000-6799),,
777516,"Healthsport, Inc.",2011-10-06,8K_FTS+8K_SUBMISSIONS,,2834.0,,no entry in companyfacts.zip (never filed XBRL),,
833203,Wyndstorm CORP,2011-10-13,8K_FTS+8K_SUBMISSIONS,,7389.0,,no 10-K/10-Q with a period end in 2010-2024,,
935724,PMI GROUP INC,2011-10-24,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6351.0,6351.0,SIC excluded (financial 6000-6799),,
51939,CORUS BANKSHARES INC,2011-10-28,8K_FTS+8K_SUBMISSIONS,,6021.0,,no 10-K/10-Q with a period end in 2010-2024,,
1401106,MF Global Holdings Ltd.,2011-10-31,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6200.0,6200.0,SIC excluded (financial 6000-6799),,
724742,SYMS CORP  (TPHS),2011-11-02,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,5651.0,6512.0,SIC excluded (financial 6000-6799),,
806085,LEHMAN BROTHERS HOLDINGS INC,2011-12-14,8K_FTS+8K_SUBMISSIONS,,6211.0,,no 10-K/10-Q with a period end in 2010-2024,,
894552,E MED FUTURE INC  (EMDF),2011-12-15,8K_FTS+8K_SUBMISSIONS,,3841.0,,no 10-K/10-Q with a period end in 2010-2024,,
1309126,"Money Tree, Inc.",2011-12-19,8K_FTS+8K_SUBMISSIONS,,6141.0,6141.0,SIC excluded (financial 6000-6799),,
1337913,"Ahern Rentals, Inc.",2011-12-22,LOPUCKI,11.0,7359.0,,no entry in companyfacts.zip (never filed XBRL),,
706465,HENRY COUNTY BANCSHARES INC,2012-01-24,8K_FTS+8K_SUBMISSIONS,,6022.0,6022.0,SIC excluded (financial 6000-6799),,
895642,ENER1 INC,2012-01-26,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,3690.0,,no entry in companyfacts.zip (never filed XBRL),,
1323033,"Tennessee Commerce Bancorp, Inc.",2012-01-30,8K_FTS+8K_SUBMISSIONS,,6022.0,6022.0,SIC excluded (financial 6000-6799),,
216039,Grubb & Ellis Company,2012-02-20,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6531.0,6531.0,SIC excluded (financial 6000-6799),,
933136,"WASHINGTON MUTUAL, INC  (COOP)",2012-03-01,8K_FTS+8K_SUBMISSIONS,,6035.0,6199.0,SIC excluded (financial 6000-6799),,
944725,"United Western Bancorp, Inc.",2012-03-02,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6022.0,6022.0,SIC excluded (financial 6000-6799),,
894490,BANKUNITED FINANCIAL CORP,2012-03-09,8K_FTS+8K_SUBMISSIONS,,6035.0,,no 10-K/10-Q with a period end in 2010-2024,,
1253710,"CANO PETROLEUM, INC",2012-03-13,8K_FTS+8K_SUBMISSIONS,,1311.0,,no entry in companyfacts.zip (never filed XBRL),,
811036,"TaxMasters, Inc.",2012-03-16,8K_FTS+8K_SUBMISSIONS,,7200.0,,no entry in companyfacts.zip (never filed XBRL),,
1344770,RECYCLE TECH INC,2012-03-29,8K_FTS+8K_SUBMISSIONS,,5734.0,,no 10-K/10-Q with a period end in 2010-2024,,
1367387,Exterra Energy Inc.,2012-05-01,8K_FTS+8K_SUBMISSIONS,,1311.0,,no entry in companyfacts.zip (never filed XBRL),,
856569,ENCORIUM GROUP INC,2012-05-18,8K_FTS+8K_SUBMISSIONS,,8731.0,,no entry in companyfacts.zip (never filed XBRL),,
913144,"RENAISSANCERE HOLDINGS LTD  (RNR, RNR-PF, RNR-PG)",2012-05-22,8K_FTS+8K_SUBMISSIONS,,6331.0,6331.0,SIC excluded (financial 6000-6799),,
831246,FRANKLIN CREDIT HOLDING CORP/DE/,2012-06-05,8K_FTS+8K_SUBMISSIONS,,6199.0,6199.0,SIC excluded (financial 6000-6799),,
74273,OLD STONE CORP,2012-06-06,8K_FTS+8K_SUBMISSIONS,,6035.0,,no 10-K/10-Q with a period end in 2010-2024,,
1097575,"AcuNetx, Inc.",2012-08-07,8K_FTS+8K_SUBMISSIONS,,3841.0,,no entry in companyfacts.zip (never filed XBRL),,
840264,CAPITOL BANCORP LTD,2012-08-09,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6021.0,6021.0,SIC excluded (financial 6000-6799),,
731859,Ampal-American Israel Corporation,2012-08-29,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6799.0,6799.0,SIC excluded (financial 6000-6799),,
1068912,FIRST PLACE FINANCIAL CORP /DE/,2012-10-29,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6035.0,6035.0,SIC excluded (financial 6000-6799),,
707855,PRINCETON NATIONAL BANCORP INC,2012-11-05,8K_FTS+8K_SUBMISSIONS,,6021.0,6021.0,SIC excluded (financial 6000-6799),,
810536,FIRSTFED FINANCIAL CORP,2012-11-16,8K_FTS+8K_SUBMISSIONS,,6035.0,,no 10-K/10-Q with a period end in 2010-2024,,
911631,TRIAD GUARANTY INC,2012-12-12,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6351.0,6351.0,SIC excluded (financial 6000-6799),,
1123541,"Penson Worldwide, Inc.",2013-01-11,LOPUCKI,11.0,6211.0,6211.0,SIC excluded (financial 6000-6799),,
764897,Banyan Rail Services Inc.  (BRST),2013-01-14,8K_FTS+8K_SUBMISSIONS,,6798.0,6500.0,SIC excluded (financial 6000-6799),,
1488591,"COVENANT BANCSHARES, INC.",2013-02-21,8K_FTS+8K_SUBMISSIONS,,6022.0,6022.0,SIC excluded (financial 6000-6799),,
1009833,GABRIEL TECHNOLOGIES CORP,2013-03-04,8K_FTS+8K_SUBMISSIONS,,7310.0,,no 10-K/10-Q with a period end in 2010-2024,,
1064015,AMERITRANS CAPITAL CORP,2013-05-01,8K_FTS+8K_SUBMISSIONS,,,,no entry in companyfacts.zip (never filed XBRL),,
870398,SBM CERTIFICATE CO,2013-05-03,8K_FTS+8K_SUBMISSIONS,,,,no 10-K/10-Q with a period end in 2010-2024,,
1177070,MOUNTAIN NATIONAL BANCSHARES INC,2013-06-10,8K_FTS+8K_SUBMISSIONS,,6021.0,6021.0,SIC excluded (financial 6000-6799),,
1289701,"Mercantile Bancorp, Inc.",2013-06-27,LOPUCKI,11.0,6021.0,6021.0,SIC excluded (financial 6000-6799),,
1368218,"Tootie Pie Company, Inc.",2013-07-09,8K_FTS+8K_SUBMISSIONS,,2050.0,,no entry in companyfacts.zip (never filed XBRL),,
885322,Anchor BanCorp Wisconsin Inc.,2013-08-12,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6036.0,6036.0,SIC excluded (financial 6000-6799),,
1127358,Colorado 2000B Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1381.0,,no 10-K/10-Q with a period end in 2010-2024,,
1042582,Eastern 1997D Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1381.0,,no 10-K/10-Q with a period end in 2010-2024,,
1224923,Colorado 2002A Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1382.0,,no 10-K/10-Q with a period end in 2010-2024,,
1156221,Colorado 2001A Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1381.0,,no 10-K/10-Q with a period end in 2010-2024,,
1127362,Colorado 2000D Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1381.0,,no 10-K/10-Q with a period end in 2010-2024,,
1156220,Colorado 2001C Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1381.0,,no 10-K/10-Q with a period end in 2010-2024,,
1093942,CO & PA 1999D Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1381.0,,no 10-K/10-Q with a period end in 2010-2024,,
1156218,Colorado 2001B Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1381.0,,no 10-K/10-Q with a period end in 2010-2024,,
1127360,Colorado 2000C Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1381.0,,no 10-K/10-Q with a period end in 2010-2024,,
1156216,Colorado 2001D Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1381.0,,no 10-K/10-Q with a period end in 2010-2024,,
1031999,Eastern 1996D Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1381.0,,no 10-K/10-Q with a period end in 2010-2024,,
1080504,Eastern 1998D Limited Partnership,2013-09-18,8K_FTS+8K_SUBMISSIONS,,1311.0,,no 10-K/10-Q with a period end in 2010-2024,,
946090,First Mariner Bancorp,2014-02-10,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6022.0,6022.0,SIC excluded (financial 6000-6799),,
1121783,AMERICAN SPECTRUM REALTY INC,2014-02-21,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6798.0,6798.0,SIC excluded (financial 6000-6799),,
924095,WATERSIDE CAPITAL CORP  (MVCO),2014-06-03,8K_FTS+8K_SUBMISSIONS,,6199.0,6199.0,SIC excluded (financial 6000-6799),,
1281984,"Decentral Life, Inc.",2014-06-27,8K_SUBMISSIONS,,6199.0,6199.0,SIC excluded (financial 6000-6799),,
1541354,"Twin Cities Power Holdings, LLC",2015-01-22,8K_FTS+8K_SUBMISSIONS,,6221.0,6221.0,SIC excluded (financial 6000-6799),,
49534,LIFE PARTNERS HOLDINGS INC,2015-01-26,8K_FTS+8K_SUBMISSIONS,,6311.0,6311.0,SIC excluded (financial 6000-6799),,
1106935,IVANHOE ENERGY INC,2015-02-26,8K_FTS+8K_SUBMISSIONS,,1311.0,,no entry in companyfacts.zip (never filed XBRL),,
840889,DORAL FINANCIAL CORP,2015-03-02,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6029.0,6029.0,SIC excluded (financial 6000-6799),,
1512369,Colt Finance Corp.,2015-06-15,8K_FTS+8K_SUBMISSIONS,,3480.0,,no entry in companyfacts.zip (never filed XBRL),,
1282543,AFFIRMATIVE INSURANCE HOLDINGS INC,2015-09-17,8K_FTS+8K_SUBMISSIONS,,6331.0,6331.0,SIC excluded (financial 6000-6799),,
1336545,"American Apparel, Inc. (2015)",2015-10-05,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6770.0,6770.0,SIC excluded (financial 6000-6799),,
1015979,Bio Nitrogen Holdings Corp,2015-11-04,8K_FTS+8K_SUBMISSIONS,,5040.0,,no 10-K/10-Q with a period end in 2010-2024,,
1395864,Verso Paper Holdings LLC,2016-01-26,8K_FTS+8K_SUBMISSIONS,,2670.0,,no entry in companyfacts.zip (never filed XBRL),,
1568832,RCS Capital Corporation,2016-01-31,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6211.0,6211.0,SIC excluded (financial 6000-6799),,
1440153,"Bakhu Holdings, Corp.",2016-05-11,8K_SUBMISSIONS,,6794.0,6794.0,SIC excluded (financial 6000-6799),,
1025953,"NOVATION COMPANIES, INC.",2016-07-22,8K_FTS+8K_SUBMISSIONS,,6531.0,6531.0,SIC excluded (financial 6000-6799),,
1496631,First NBC Bank Holding Co,2017-05-04,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6022.0,6022.0,SIC excluded (financial 6000-6799),,
1536256,First Capital Real Estate Trust Inc,2017-06-02,8K_FTS+8K_SUBMISSIONS,,6798.0,6798.0,SIC excluded (financial 6000-6799),,
1138258,"GENON MID-ATLANTIC, LLC",2017-06-14,8K_FTS+8K_SUBMISSIONS,,4911.0,,no entry in companyfacts.zip (never filed XBRL),,
1554923,Aina Le'a Inc.,2017-06-30,8K_FTS+8K_SUBMISSIONS,,6500.0,6500.0,SIC excluded (financial 6000-6799),,
1040719,Walter Investment Management Corp.,2017-11-30,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6162.0,6162.0,SIC excluded (financial 6000-6799),,
1499912,"Global Brokerage, Inc.",2017-12-11,LOPUCKI,11.0,6200.0,6200.0,SIC excluded (financial 6000-6799),,
1580185,J.G. Wentworth Co,2017-12-12,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6199.0,6199.0,SIC excluded (financial 6000-6799),,
1619917,"Patriot National, Inc.",2018-01-30,LOPUCKI,11.0,6411.0,6411.0,SIC excluded (financial 6000-6799),,
1494448,"EMERGENT CAPITAL, INC.",2018-12-14,8K_FTS+8K_SUBMISSIONS,,6311.0,6311.0,SIC excluded (financial 6000-6799),,
1434621,"LendingTree, Inc.  (TREE)",2019-07-25,8K_FTS+8K_SUBMISSIONS,,6163.0,6163.0,SIC excluded (financial 6000-6799),,
