cik,company,event_date,prior_event_date,n_events,all_event_dates,source,chapter,sic,is_primary_filer,date_discrepancy_days,in_window
1338732,Hartford Life Global Funding Trust 2005-111,2005-12-27,,1,2005-12-27,8K_SUBMISSIONS,,6189.0,1,,0
1331756,Hartford Life Global Funding Trust 2005-080,2005-12-27,,1,2005-12-27,8K_SUBMISSIONS,,6189.0,1,,0
1330981,Hartford Life Global Funding Trust 2005-077,2005-12-27,,1,2005-12-27,8K_SUBMISSIONS,,6189.0,1,,0
1330332,Hartford Life Global Funding Trust 2005-074,2005-12-27,,1,2005-12-27,8K_SUBMISSIONS,,6189.0,1,,0
1049442,Pliant Corporation (2006),2006-01-03,,2,2006-01-03;2009-02-11,8K_SUBMISSIONS+LOPUCKI,11,2673,1,3,0
1108951,LARGE SCALE BIOLOGY CORP,2006-01-13,,1,2006-01-13,8K_SUBMISSIONS,,2834.0,1,,0
1065581,TIGER TELEMATICS INC,2006-01-23,,2,2006-01-23;2007-09-18,8K_SUBMISSIONS,,4899.0,1,,0
1333634,Hartford Life Global Funding Trust 2005-087,2006-01-27,,1,2006-01-27,8K_SUBMISSIONS,,6189.0,1,,0
1332376,Hartford Life Global Funding Trust 2005-082,2006-01-27,,1,2006-01-27,8K_SUBMISSIONS,,6189.0,1,,0
1334386,Hartford Life Global Funding Trust 2005-090,2006-01-27,,1,2006-01-27,8K_SUBMISSIONS,,6189.0,1,,0
1333646,Hartford Life Global Funding Trust 2005-088,2006-01-27,,1,2006-01-27,8K_SUBMISSIONS,,6189.0,1,,0
1334392,Hartford Life Global Funding Trust 2005-091,2006-01-27,,1,2006-01-27,8K_SUBMISSIONS,,6189.0,1,,0
1332993,Hartford Life Global Funding Trust 2005-085,2006-01-27,,1,2006-01-27,8K_SUBMISSIONS,,6189.0,1,,0
946661,GLYCOGENESYS  INC,2006-02-03,,1,2006-02-03,8K_SUBMISSIONS,,2836.0,1,,0
1123028,RIVERSTONE NETWORKS INC,2006-02-08,,1,2006-02-08,8K_SUBMISSIONS,,3576.0,1,,0
927761,MYMETICS CORP,2006-02-13,,1,2006-02-13,8K_SUBMISSIONS,,2836.0,1,,0
1048268,"Integrated Electrical Services, Inc.",2006-02-14,,1,2006-02-14,8K_SUBMISSIONS+LOPUCKI,11,1731,1,1,0
1159770,"Interact Holdings Group, Inc.",2006-02-17,,1,2006-02-17,8K_SUBMISSIONS,,4899.0,1,,0
1097570,DESERT HEALTH PRODUCTS INC,2006-02-22,,1,2006-02-22,8K_SUBMISSIONS,,2834.0,1,,0
1169709,WORLD HEALTH ALTERNATIVES INC,2006-02-22,,1,2006-02-22,8K_SUBMISSIONS,,7363.0,1,,0
764794,Rudy Nutrition,2006-02-23,,1,2006-02-23,8K_SUBMISSIONS,,3579.0,1,,0
1336407,Hartford Life Global Funding Trust 2005-099,2006-02-27,,1,2006-02-27,8K_SUBMISSIONS,,6189.0,1,,0
1335115,Hartford Life Global Funding Trust 2005-094,2006-02-27,,1,2006-02-27,8K_SUBMISSIONS,,6189.0,1,,0
1335833,Hartford Life Global Funding Trust 2005-096,2006-02-27,,1,2006-02-27,8K_SUBMISSIONS,,6189.0,1,,0
1336424,Hartford Life Global Funding Trust 2005-100,2006-02-27,,1,2006-02-27,8K_SUBMISSIONS,,6189.0,1,,0
1336429,Hartford Life Global Funding Trust 2005-101,2006-02-27,,1,2006-02-27,8K_SUBMISSIONS,,6189.0,1,,0
1335099,Hartford Life Global Funding Trust 2005-093,2006-02-27,,1,2006-02-27,8K_SUBMISSIONS,,6189.0,1,,0
1336999,Hartford Life Global Funding Trust 2005-103,2006-02-27,,1,2006-02-27,8K_SUBMISSIONS,,6189.0,1,,0
1337001,Hartford Life Global Funding Trust 2005-104,2006-02-27,,1,2006-02-27,8K_SUBMISSIONS,,6189.0,1,,0
1335867,Hartford Life Global Funding Trust 2005-098,2006-02-27,,1,2006-02-27,8K_SUBMISSIONS,,6189.0,1,,0
1335860,Hartford Life Global Funding Trust 2005-097,2006-02-27,,1,2006-02-27,8K_SUBMISSIONS,,6189.0,1,,0
